a,0,51,50,46,45,48,48,49,64,99,0,49,104,52,38,34,129,130,15,10,0.5719103352509423,0.7520333267208887,1,1
b,22,32,26,25,91,57,52,51,48,50,0,0,8,194,34,30,37,82,71,0,0.7241011035955857,0.8071377714489142,1,1
c,20,49,51,41,23,25,31,41,56,72,0,23,96,72,43,35,34,59,51,1,0.7778218607419163,0.8432850624876017,0,1
d,30,32,26,25,63,50,50,53,56,79,0,0,67,103,36,26,56,208,7,0,0.7351815592737629,0.7968583125667498,1,1
e,0,52,45,48,20,22,26,41,62,71,0,0,97,68,52,47,50,71,58,0,0.8067129629629629,0.7951388888888888,1,1
f,81,48,22,25,85,25,25,25,25,27,0,0,0,20,187,30,30,32,0,0,0.7184264053254438,0.8752311390532544,0,1
g,0,73,52,52,48,14,102,45,28,79,0,0,31,149,68,57,102,101,44,0,0.8172337562475971,0.738514033064206,2,1
h,133,37,25,25,83,53,50,50,50,51,0,0,16,205,20,15,30,129,7,0,0.8583117603550295,0.8241031804733728,0,1
i,66,29,0,0,41,26,25,25,25,26,0,0,0,0,16,166,8,0,0,0,0.9707377958579881,0.921458949704142,0,2
j,0,18,0,38,25,25,25,25,24,32,0,0,0,0,27,18,210,0,0,0,0.8482870691033086,0.9286323192498268,0,2
k,135,35,25,24,52,41,42,55,56,58,0,0,15,206,26,55,82,39,12,0,0.7156989644970414,0.7910502958579881,0,1
l,0,43,26,25,25,25,25,25,25,26,0,0,0,0,16,207,7,0,0,0,0.9806349206349206,0.9741043083900227,0,1
m,0,0,42,112,75,75,75,76,202,0,6,60,138,13,26,131,19,16,47,116,0.9069187145557656,0.8875614366729678,0,1
n,0,82,69,50,50,50,50,50,50,70,6,17,134,138,18,16,25,137,126,9,0.8660518626734843,0.8348246895544192,0,1
o,24,51,49,52,57,56,56,53,50,53,0,73,111,49,27,21,28,48,109,69,0.9232295179527872,0.9250148780003967,1,1
p,71,117,57,53,51,48,51,47,25,26,0,0,13,197,46,34,34,75,88,0,0.6778747181648858,0.7636506224879914,1,1
q,68,52,47,49,51,55,102,43,25,26,0,0,82,68,37,27,42,201,6,0,0.7063523184001569,0.8089893147730615,1,1
r,69,84,52,26,25,25,25,25,25,30,0,0,14,131,137,26,20,27,28,0,0.6347406007141357,0.823146397815585,0,1
s,22,40,29,31,46,57,43,34,35,48,0,0,81,84,53,50,57,100,34,0,0.7568934735171593,0.7699861138662963,0,1
