a 0 106 62 45 49 116 63 60 77 118 0 0 60 115 78 68 65 69 87 148 16 0 0.77558001189768 0.7724568709101726 1 1
b 0 27 27 96 77 57 53 54 62 115 0 0 0 216 176 49 44 58 128 42 0 0 0.8325206611570248 0.7492975206611571 1 1
c 0 94 66 55 28 27 28 56 65 90 0 0 64 123 67 48 44 48 66 75 7 0 0.8779744199881023 0.9628941106484236 0 1
d 0 27 27 96 75 56 53 53 62 116 0 0 0 44 133 55 44 49 216 216 0 0 0.8577685950413223 0.7509090909090909 1 1
e 0 94 65 57 56 144 28 60 71 97 0 0 84 128 85 71 66 70 85 107 56 0 0.9299524092801904 0.8670434265318263 1 1
f 27 62 27 80 27 27 27 27 27 27 27 0 0 0 21 185 215 46 17 0 0 0 0.8376399292988805 0.8979042168167662 0 1
g 29 112 61 54 53 58 89 72 54 100 29 0 0 43 164 79 66 74 207 172 0 0 0.8895787679571463 0.8163704244785326 1 1
h 0 28 28 94 78 57 55 55 55 55 0 0 0 215 215 24 23 27 150 0 0 0 0.8812157064471879 0.8318329903978052 0 1
i 0 27 0 27 27 27 27 27 27 27 0 0 0 0 0 0 187 0 0 0 0 0 0.9919838820301783 0.9664351851851852 0 2
j 0 27 0 27 27 27 27 27 27 31 0 0 0 0 0 13 31 212 0 0 0 0 0.8384183673469388 0.9526020408163265 0 2
k 0 27 27 62 62 60 72 61 60 61 0 0 0 215 215 33 83 84 46 0 0 0 0.6342592592592593 0.8097565157750343 0 1
l 0 27 27 27 27 27 27 27 27 27 0 0 0 0 0 0 215 0 0 0 0 0 0.9907836076817559 0.9988425925925926 0 1
m 0 0 180 105 84 82 82 82 82 0 0 109 156 24 23 29 148 25 23 26 153 109 0.9300462798148807 0.8018867924528302 0 1
n 0 109 77 59 56 56 56 56 56 56 0 0 156 156 28 24 23 26 37 147 0 0 0.903359375 0.806015625 0 1
o 0 97 68 59 58 55 56 59 70 94 0 0 89 131 60 48 44 49 64 127 80 0 0.9535246876859013 0.9792534205829864 1 1
p 0 112 63 53 53 56 77 90 28 28 0 0 0 216 175 48 43 56 128 41 0 0 0.8303305785123967 0.7477685950413223 1 1
q 0 116 62 54 52 56 76 88 27 27 0 0 0 46 132 55 44 48 216 216 0 0 0.8594628099173554 0.7486363636363637 1 1
r 0 77 48 31 28 27 27 27 27 27 0 0 0 0 156 137 28 28 30 0 0 0 0.68125 0.86625 0 1
s 0 97 58 29 61 86 43 56 64 97 0 0 0 93 96 77 73 76 104 91 0 0 0.814767995240928 0.8001933372992267 0 1
t 24 27 27 72 27 27 27 27 27 52 24 0 0 0 0 21 206 46 0 0 0 0 0.8940459238163048 0.9220808116767533 0 1
u 18 54 54 54 54 54 54 58 73 108 18 0 0 147 34 25 23 24 30 157 0 0 0.9371875 0.80515625 0 1
v 26 57 55 56 54 54 53 53 50 37 26 0 25 67 74 71 34 72 73 68 25 0 0.9886587771203156 0.5070677186061802 0 1
w 0 0 90 100 100 101 98 98 72 0 0 1 73 86 48 88 38 97 47 83 68 1 0.9758930910996594 0.5638920429731854 0 1
x 67 66 65 64 50 36 59 64 64 66 67 0 26 71 95 89 43 89 91 70 26 0 0.9884122287968442 0.902449046679816 0 1
y 0 56 55 56 55 52 44 27 26 56 0 0 0 17 103 111 66 73 71 15 0 0 0.9140495867768595 0.7037190082644628 0 1
z 138 128 33 33 33 34 34 34 34 138 138 0 52 70 83 85 84 84 80 62 43 0 0.7445759368836292 0.7223865877712031 0 1
A 0 49 55 57 58 60 134 62 64 64 0 0 40 80 87 98 61 98 78 82 33 0 0.9170524691358025 0.576431755829904 1 1
B 0 140 60 57 64 138 63 60 62 148 0 0 0 215 78 78 78 86 154 130 0 0 0.7542009602194787 0.8843449931412894 2 1
C 0 127 69 44 30 30 30 62 70 128 0 0 91 167 65 53 50 53 65 102 20 0 0.8663903061224489 0.9790338010204082 0 1
D 0 147 65 60 59 59 59 60 64 146 0 0 215 215 52 52 52 56 78 156 40 0 0.7246656378600823 0.9842678326474623 1 1
E 0 156 30 30 30 148 30 30 30 161 0 0 0 215 78 78 78 78 78 78 0 0 0.8004115226337448 0.9418724279835391 0 1
F 0 146 29 29 29 130 29 29 29 29 0 0 0 215 52 52 52 52 52 26 0 0 0.7750771604938271 0.8423782578875172 0 1
G 0 137 69 49 31 122 123 60 73 143 0 0 107 116 64 54 52 79 84 107 109 0 0.7663823341836735 0.8626036352040817 0 1
H 0 58 58 58 58 169 58 58 58 58 0 0 0 215 26 26 26 26 26 215 0 0 0.982681755829904 0.9308984910836763 0 1
I 0 29 29 29 29 29 29 29 29 29 0 0 0 0 0 0 215 0 0 0 0 0 0.9907836076817559 0.9987568587105624 0 1
J 0 29 29 29 29 29 29 55 59 97 0 0 0 0 54 30 26 34 200 0 0 0 0.8017355371900826 0.8421487603305785 0 1
K 0 68 68 67 66 98 77 65 67 67 0 0 215 215 36 48 86 88 92 51 2 0 0.4804955418381344 0.8234310699588477 0 1
L 0 29 29 29 29 29 29 29 29 134 0 0 0 215 215 26 26 26 26 26 0 0 0.7628172153635117 0.881730109739369 0 1
M 0 96 107 107 106 107 105 107 105 97 0 0 215 66 79 78 37 69 68 66 215 0 0.9584190672153635 0.6502914951989026 0 1
N 0 73 88 90 90 90 90 90 86 71 0 0 0 215 51 51 51 51 51 215 0 0 0.7606310013717421 0.7867798353909465 0 1
O 0 131 72 62 61 60 60 62 72 131 0 0 121 97 61 53 50 52 62 104 117 0 0.9765226403061225 0.9926259566326531 1 1
P 29 151 62 59 61 149 29 29 29 29 29 0 0 216 52 52 52 52 67 93 0 0 0.7939814814814815 0.7233367626886146 1 1
Q 4 134 70 62 62 60 62 84 99 139 4 0 108 102 62 53 55 79 67 189 108 0 0.8640476874461361 0.7898592358517668 1 1
R 0 160 61 59 67 145 66 67 66 66 0 0 215 49 49 50 60 90 131 120 12 0 0.5297496570644719 0.7090192043895748 1 1
S 23 127 62 29 59 96 41 57 64 133 23 0 0 117 103 86 82 85 99 123 0 0 0.8476584692800909 0.8199009820631442 0 1
T 0 171 30 30 30 30 30 30 30 30 0 0 0 26 26 26 215 26 26 26 0 0 0.982681755829904 0.8415637860082305 0 1
U 0 58 58 58 58 58 59 60 67 127 0 0 0 196 34 28 26 28 36 194 0 0 0.9636363636363636 0.7660330578512397 0 1
V 0 61 59 59 57 57 56 55 53 46 0 0 33 82 77 72 26 70 73 76 30 0 0.9805384087791496 0.5841049382716049 0 1
W 0 0 107 108 108 105 104 99 85 0 0 0 103 100 80 91 28 96 80 97 98 0 0.9792712592515915 0.5794472335800425 0 1
